scenario,total_cameras,groups,gpu_util_avg,gpu_util_peak,nvdec_util_avg,vram_used_MB_peak,vram_free_MB,cpu_util_avg,ram_used_MB,predicted_infer_ms_per_s,notes
S2_retail,12,"[{""label"": ""people"", ""model"": ""yolo26s"", ""cams"": 8, ""target_fps"": 8.0, ""achieved_fps"": 5.59, ""avg_batch"": 8}, {""label"": ""theft"", ""model"": ""yolo26l"", ""cams"": 4, ""target_fps"": 10.0, ""achieved_fps"": 6.19, ""avg_batch"": 4}]",40.0,55.0,4.8,6801.0,1391,23.4,6332,832,
S3_safety,15,"[{""label"": ""ppe"", ""model"": ""yolo26m"", ""cams"": 12, ""target_fps"": 3.0, ""achieved_fps"": 2.46, ""avg_batch"": 12}, {""label"": ""fire"", ""model"": ""yolo26x"", ""cams"": 3, ""target_fps"": 1.0, ""achieved_fps"": 0.96, ""avg_batch"": 3}]",17.6,69.0,6.0,6130.0,2062,25.7,6339,348,
S4_mixedfps,15,"[{""label"": ""live"", ""model"": ""yolo26m"", ""cams"": 5, ""target_fps"": 15.0, ""achieved_fps"": 8.3, ""avg_batch"": 5}, {""label"": ""periodic"", ""model"": ""yolo26m"", ""cams"": 10, ""target_fps"": 3.0, ""achieved_fps"": 2.53, ""avg_batch"": 10}]",49.4,75.0,6.2,5290.0,2902,23.8,6257,840,
S1_warehouse,15,"[{""label"": ""attendance"", ""model"": ""yolo26m"", ""cams"": 10, ""target_fps"": 10.0, ""achieved_fps"": 0, ""avg_batch"": 10}, {""label"": ""fire"", ""model"": ""yolo26l"", ""cams"": 5, ""target_fps"": 1.0, ""achieved_fps"": 0, ""avg_batch"": 5}]",0,0,0,8192,0,0,0,1560,"OOM on 8GB — medium+large contexts (~2.4GB each) + 15 cams exceed 8GB; needs >=12GB GPU or lighter models"
